Timestamp,Venue,Keyword,Question,Odds,Volume_USD,Link
2026-09-12 17:47:51,Polymarket,newsom,Will Gavin Newsom win the 2028 Democratic presidential nomination?,YES: 13.9% | NO: 86.2%,27234626.241445985,https://polymarket.com/market/will-gavin-newsom-win-the-2028-democratic-presidential-nomination-568
2026-09-12 17:47:51,Polymarket,democrat,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,YES: 17.6% | NO: 82.3%,15149183.581545997,https://polymarket.com/market/will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653
2026-09-12 17:47:51,Polymarket,democrat,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,YES: 5.7% | NO: 94.3%,11987780.671215007,https://polymarket.com/market/will-pete-buttigieg-win-the-2028-democratic-presidential-nomination-687
2026-09-12 17:47:51,Polymarket,democrat,Will Josh Shapiro win the 2028 Democratic presidential nomination?,YES: 6.3% | NO: 93.7%,9879705.557846,https://polymarket.com/market/will-josh-shapiro-win-the-2028-democratic-presidential-nomination-977
2026-09-12 17:47:51,Polymarket,democrat,Will Wes Moore win the 2028 Democratic presidential nomination?,YES: 1.6% | NO: 98.5%,18419150.547281,https://polymarket.com/market/will-wes-moore-win-the-2028-democratic-presidential-nomination-714
2026-09-12 17:47:51,Polymarket,democrat,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,YES: 0.1% | NO: 99.9%,23008722.38168901,https://polymarket.com/market/will-stephen-a-smith-win-the-2028-democratic-presidential-nomination-914
2026-09-12 17:47:51,Polymarket,harris,Will Kamala Harris win the 2028 Democratic presidential nomination?,YES: 7.8% | NO: 92.2%,13193989.705645988,https://polymarket.com/market/will-kamala-harris-win-the-2028-democratic-presidential-nomination-641
2026-09-12 17:47:51,Polymarket,democrat,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,YES: 0.5% | NO: 99.5%,12045134.415823009,https://polymarket.com/market/will-gretchen-whitmer-win-the-2028-democratic-presidential-nomination-676
2026-09-12 17:47:51,Polymarket,democrat,Will Andy Beshear win the 2028 Democratic presidential nomination?,YES: 2.6% | NO: 97.4%,13156104.774034001,https://polymarket.com/market/will-andy-beshear-win-the-2028-democratic-presidential-nomination-832
2026-09-12 17:47:51,Polymarket,democrat,Will Jon Ossoff win the 2028 Democratic presidential nomination?,YES: 16.2% | NO: 83.9%,12886118.178944,https://polymarket.com/market/will-jon-ossoff-win-the-2028-democratic-presidential-nomination-885
2026-09-12 17:47:51,Polymarket,democrat,Will Mark Cuban win the 2028 Democratic presidential nomination?,YES: 0.1% | NO: 99.9%,22929453.16620101,https://polymarket.com/market/will-mark-cuban-win-the-2028-democratic-presidential-nomination-329
2026-09-12 17:47:51,Polymarket,democrat,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,YES: 1.4% | NO: 98.7%,15649142.857768992,https://polymarket.com/market/will-jb-pritzker-win-the-2028-democratic-presidential-nomination-288
2026-09-12 17:47:51,Polymarket,democrat,Will Raphael Warnock win the 2028 Democratic presidential nomination?,YES: 0.5% | NO: 99.5%,32183965.718313977,https://polymarket.com/market/will-raphael-warnock-win-the-2028-democratic-presidential-nomination-914
2026-09-12 17:47:51,Polymarket,democrat,Will Cory Booker win the 2028 Democratic presidential nomination?,YES: 0.7% | NO: 99.4%,26281415.436262015,https://polymarket.com/market/will-corey-booker-win-the-2028-democratic-presidential-nomination-125
2026-09-12 17:47:51,Polymarket,democrat,Will Tim Walz win the 2028 Democratic presidential nomination?,YES: 0.1% | NO: 100.0%,43351808.533428006,https://polymarket.com/market/will-tim-walz-win-the-2028-democratic-presidential-nomination-475
2026-09-12 17:47:51,Polymarket,democrat,Will Michelle Obama win the 2028 Democratic presidential nomination?,YES: 0.2% | NO: 99.8%,26243075.032585014,https://polymarket.com/market/will-michelle-obama-win-the-2028-democratic-presidential-nomination-777
